Count;min;max;total;avg;funktion
1;0,049501;0,049501;0,049501;0,049501;class vwg.omd.nw2.web.navi_service_client.impl.configuration.NaviServiceConfiguration$$EnhancerByCGLIB$$7d9ea936 NaviServiceConfiguration.getNavigationServiceClientForNewNaviService()
2;0,003847;1,029897;1,033744;0,516872;class vwg.omd.nw2.web.base.navi.service.NaviAreaContentSwitchBean NaviAreaContentSwitchBean.getFooter()
17;0,000032;0,000099;0,000990;0,000058;class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.writeProperty(..)
1;0,004237;0,004237;0,004237;0,004237;class vwg.omd.nw2.web.mis.enums.MisReportPeriodUnitController MisReportPeriodUnitController.getMisReportPeriodUnits()
3;0,000003;0,003106;0,003112;0,001037;class vwg.omd.nw2.web.client.context.impl.RequestContextImpl RequestContextImpl.setVwcstatTokenChanged(..)
1;0,923451;0,923451;0,923451;0,923451;class vwg.omd.nw2.services.navi_service_client.common.impl.NavigationServiceClientImpl NavigationServiceClientImpl.getHtmlContentForFooterRegion(..)
3;0,022373;11,669671;11,715409;3,905136;class vwg.omd.nw2.web.base.analysis.tools.RequestDurationFilter RequestDurationFilter.doFilter(..)
3;0,000003;0,004639;0,004648;0,001549;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.isInitialized()
10;0,001525;0,006974;0,021929;0,002193;class vwg.omd.nw2.web.mis.gui.MISBean MISBean.getData()
1;0,000028;0,000028;0,000028;0,000028;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setTraining(..)
1;1,408243;1,408243;1,408243;1,408243;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNaviServiceBackingBeanImpl DefaultNaviServiceBackingBeanImpl.getNavigation()
14;0,000130;0,004108;0,006619;0,000473;class vwg.omd.nw2.persistence.configuration.multi.tenancy.NewadaCurrentTenantIdentifier NewadaCurrentTenantIdentifier.resolveCurrentTenantIdentifier()
4;0,000005;0,000033;0,000051;0,000013;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setClientBrowserVersion(..)
2;0,000004;0,000205;0,000209;0,000104;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getClientBrowserVersion()
