[Profiler] | 0,004262 |vwg.omd.nw2 | class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.isUserDataInitialized() | 19.02.2014 16:53:37.515 | 19.02.2014 16:53:37.520
[Profiler] | 0,065047 |vwg.omd.nw2 | class vwg.omd.nw2.services.userdata.impl.init.UserDataServiceImpl UserDataServiceImpl.isUserDataInitialized() | 19.02.2014 16:53:37.455 | 19.02.2014 16:53:37.520
[Profiler] | 0,000006 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setAuthToken(..) | 19.02.2014 16:53:37.520 | 19.02.2014 16:53:37.520
[Profiler] | 0,000078 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getBooleanProperty(..) | 19.02.2014 16:53:37.521 | 19.02.2014 16:53:37.521
[Profiler] | 0,000010 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.readProperty(..) | 19.02.2014 16:53:37.521 | 19.02.2014 16:53:37.521
[Profiler] | 0,000388 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService AbstractConfigurationService.getBooleanProperty(..) | 19.02.2014 16:53:37.521 | 19.02.2014 16:53:37.522
[Profiler] | 0,000071 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getBooleanProperty(..) | 19.02.2014 16:53:37.522 | 19.02.2014 16:53:37.522
[Profiler] | 0,000008 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.readProperty(..) | 19.02.2014 16:53:37.523 | 19.02.2014 16:53:37.523
[Profiler] | 0,000360 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService AbstractConfigurationService.getBooleanProperty(..) | 19.02.2014 16:53:37.523 | 19.02.2014 16:53:37.523
[Profiler] | 0,002534 |vwg.omd.nw2 | class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getBooleanPropertyValue(..) | 19.02.2014 16:53:37.521 | 19.02.2014 16:53:37.523
[Profiler] | 0,000071 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getProperty(..) | 19.02.2014 16:53:37.524 | 19.02.2014 16:53:37.524
[Profiler] | 0,000007 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.readProperty(..) | 19.02.2014 16:53:37.524 | 19.02.2014 16:53:37.524
[Profiler] | 0,000367 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService AbstractConfigurationService.getProperty(..) | 19.02.2014 16:53:37.524 | 19.02.2014 16:53:37.525
[Profiler] | 0,000070 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getProperty(..) | 19.02.2014 16:53:37.525 | 19.02.2014 16:53:37.525
[Profiler] | 0,000007 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.readProperty(..) | 19.02.2014 16:53:37.525 | 19.02.2014 16:53:37.525
